id,FT10_mean,FT16_mean
88,61.25,50.5
108,70,52.25
139,68.75,52.75
159,72,56.75
265,63.5,47.25
350,68.5,51.5
351,69.25,65.33333333
403,63.5,54.25
410,76,65.25
424,83.25,68.25
428,75.75,59
430,92.33333333,55
470,NA,NA
476,NA,NA
484,NA,NA
504,NA,NA
506,NA,NA
531,NA,NA
544,NA,NA
546,NA,NA
628,NA,NA
630,73.5,58.75
680,NA,NA
681,NA,NA
685,NA,NA
687,NA,NA
728,NA,NA
742,NA,NA
763,65.75,39
765,56.75,36.66666667
766,63.5,41.75
768,76.5,78.25
772,67.5,43.5
801,94.75,88.25
853,NA,NA
854,NA,NA
867,NA,NA
868,NA,NA
870,72.5,62.25
915,63.75,43.5
932,78,68.75
991,110.5,106.75
992,116,100
997,101.25,87.5
1002,102.75,86.25
1006,NA,NA
1061,97.75,94.75
1062,94,68.25
1063,84,64.25
1066,128,NA
1070,NA,NA
1158,98.75,88
1166,NA,NA
1254,92,106
1257,94.66666667,93.25
1313,NA,NA
1317,104.25,102
1552,104,115.3333333
1612,NA,NA
1622,NA,NA
1651,NA,NA
1652,NA,NA
1676,NA,NA
1684,NA,NA
1739,NA,NA
1741,NA,NA
1756,NA,NA
1757,NA,NA
1793,NA,NA
1797,NA,NA
1819,NA,NA
1820,NA,NA
1829,94.75,99
1834,NA,NA
1835,NA,NA
1851,NA,NA
1852,NA,NA
1853,71.5,69.33333333
1872,80.25,82.5
1890,101,75.75
1925,89.5,89.5
1942,NA,NA
1943,NA,NA
1954,93,101
2016,77.5,69.75
2017,NA,NA
2031,NA,NA
2053,NA,NA
2057,NA,NA
2081,NA,NA
2091,NA,NA
2106,NA,NA
2108,NA,NA
2141,NA,NA
2159,NA,NA
2166,NA,NA
2171,79,82.5
2191,NA,NA
2202,97.75,96.5
2212,NA,NA
2239,NA,NA
2240,NA,NA
2276,83,84.25
2278,79.25,85
2285,NA,NA
2286,NA,NA
2317,77,53.5
2370,NA,NA
2412,NA,NA
4779,68.66666667,50.25
4807,79.75,87.5
4826,60,51
4840,NA,NA
4857,NA,NA
4884,70.25,49.5
4900,71,50.25
4939,NA,NA
4958,91.25,100.25
5023,61,43.75
5104,60,40.75
5151,81.75,73.66666667
5165,86.5,81.75
5210,96,78
5236,58.5,43.5
5249,NA,NA
5253,62.75,38
5276,74.5,49.75
5279,NA,NA
5349,92,97.33333333
5353,71,62.5
5395,NA,NA
5486,60.5,37.5
5577,66.75,51
5644,60.75,46.25
5651,NA,NA
5717,NA,NA
5718,NA,NA
5720,92,63.33333333
5726,74,48
5741,97.25,88.5
5748,60.75,41.75
5757,87.75,66.66666667
5768,96.25,85
5772,66.75,49
5776,NA,NA
5779,90.5,67
5784,101.75,69.25
5798,NA,NA
5800,61.75,39
5811,72,46
5822,112.75,111
5830,97.75,75.33333333
5831,99.5,93
5832,88.5,87.33333333
5836,NA,NA
5837,80.5,55.25
5856,119,NA
5860,NA,NA
5865,109.75,101
5867,130.5,NA
5874,78,69.25
5890,78.25,55.25
5893,73.75,64.25
5907,66.5,48.5
5921,82.5,55.75
5950,81.25,65.5
5984,66.75,41.75
5993,82.5,64.75
6008,73.5,43
6009,103,113.5
6010,NA,NA
6011,97.33333333,112.5
6012,102,125
6013,93.75,93
6016,87.33333333,83.5
6017,96.5,104
6019,103.5,NA
6020,94,87.25
6021,94.25,87
6022,NA,NA
6023,93.75,89.25
6024,106.75,116
6025,129.25,NA
6030,107.25,129
6034,102.75,80.5
6035,83,73.75
6036,94.25,86.33333333
6038,91.25,77.25
6039,91,62
6040,93.25,82.5
6041,78.75,51.5
6042,63.5,43
6043,110,130.6666667
6046,117.25,117
6064,103.6666667,129.5
6069,107.25,139
6070,106.75,119.3333333
6071,120.75,139.5
6073,102.25,96.5
6074,101,85.75
6076,121.5,110.5
6077,NA,NA
6085,124.25,128
6086,100.5,100.75
6087,NA,NA
6088,107.6666667,128
6090,94.75,105
6091,NA,NA
6092,103,89.5
6094,101.75,92.66666667
6095,NA,NA
6096,NA,NA
6097,114.5,94
6098,112.25,105
6099,117,113.6666667
6100,102,108.3333333
6101,NA,NA
6102,122.3333333,103.5
6104,100,109.5
6105,97.75,87.66666667
6106,102,94.75
6107,119,105.25
6108,78.75,52.75
6109,100.75,99
6111,111.75,93.66666667
6112,94.5,76.75
6113,132.6666667,NA
6114,97,92
6115,97.5,74.75
6118,98.25,99.25
6119,NA,NA
6122,101.5,90
6123,NA,NA
6124,129.5,106
6125,106.25,100
6126,103.25,89
6128,122.3333333,113
6131,119,137
6132,106,102.5
6133,111.75,91.75
6134,110,100.3333333
6136,96.5,84.5
6137,92.5,87.75
6138,97,90.75
6140,98.75,103.25
6141,NA,NA
6142,98.5,107.5
6145,116,111.5
6148,105,105.6666667
6149,106,99
6150,111.3333333,101.6666667
6151,99.5,103.3333333
6153,149.25,116
6154,149.3333333,NA
6163,157.5,NA
6166,144,NA
6169,116,113.5
6172,110.5,114
6173,91.75,101
6174,100,128
6177,99,105.5
6180,71,41.25
6184,93.66666667,103.6666667
6188,73.25,53.5
6189,74,56.66666667
6191,78.33333333,58.5
6192,95,63
6193,83,54.5
6194,110.5,91.5
6195,83.75,59
6198,88.25,92.5
6201,94.25,103
6202,109.75,128
6203,108,119.6666667
6209,94,107
6210,100.75,125
6214,NA,NA
6216,134.5,NA
6217,111.25,127
6218,124,137
6220,103,117.3333333
6221,108,110
6231,109.25,NA
6235,119.5,NA
6237,106,109
6238,104.5,124
6240,98.25,125.6666667
6241,96.25,117.5
6242,83.66666667,86.5
6243,66.75,43.75
6244,90.75,108.25
6252,122.75,NA
6255,134,NA
6258,119.25,126.6666667
6268,115,128.6666667
6276,131,143
6284,117.5,131.5
6296,75,47
6390,71.75,61.33333333
6396,82.75,70.75
6413,104.25,95
6424,77,53
6434,62.75,40
6445,67,50
6680,99.25,92.33333333
6739,NA,NA
6740,NA,NA
6744,63.25,47.25
6749,NA,NA
6750,NA,NA
6805,NA,NA
6806,NA,NA
6814,NA,NA
6830,69.75,41.25
6897,68,66.25
6898,57.5,34.25
6900,116,121.5
6901,95.5,117
6903,81.5,56.25
6904,72.25,65.33333333
6907,72,60.25
6908,66,59
6909,70.5,38
6911,62.75,47.25
6913,120.6666667,NA
6915,76.5,56.75
6917,144,NA
6918,123,NA
6919,76.75,94
6920,86.75,93.75
6922,71,44.5
6923,57,41.5
6924,61.5,47
6926,66.25,45.75
6927,73.5,63
6929,78.5,61.75
6931,59.75,48.5
6932,63.5,40.33333333
6933,63.75,54.5
6938,72,70.75
6940,64.25,39.25
6943,60.75,42.5
6944,63.75,44.5
6945,76.5,56
6951,79.5,59
6956,84.5,72.5
6957,81.25,84.66666667
6958,68.75,41.66666667
6959,71.75,53.25
6960,55,39.75
6961,59,50.33333333
6963,78.75,64.25
6966,62.25,55125
6967,62.75,42
6968,92.5,91.33333333
6969,91.25,96
6970,62.5,50.25
6971,66.25,63.66666667
6973,77.25,46.25
6974,108.75,125.25
6975,67.25,47.25
6976,71.25,69.5
6979,54.75,36
6981,62.25,43
6982,78.5,44
6984,69.25,47.75
6986,61.5,43.75
6987,69,47.75
6989,78.25,61
6990,79,60.25
6992,68,54.25
6997,81,56
7000,78,54
7002,80.25,59
7003,71.75,51
7008,95.5,95
7013,63,38.75
7014,81.5,74
7025,71.5,52.66666667
7026,69,45.5
7028,57.5,40.25
7031,78.25,47.25
7033,78.75,76
7036,67.75,50.5
7058,87.25,66
7061,87.25,64
7062,62.25,38.25
7063,72.25,51
7064,68.33333333,66.66666667
7067,58.75,42.25
7068,63.75,56
7071,64.25,45
7072,70.25,62
7077,54.5,44.33333333
7081,58.5,42.5
7092,68,54.25
7094,67.25,43.25
7096,65.5,40.25
7102,87.25,71
7103,62.25,36.75
7106,76.5,44.5
7107,67.25,50.75
7109,60.75,45.75
7111,86,NA
7117,58,36.5
7119,65.5,41
7120,62.5,42.75
7125,69.25,42.75
7126,95.5,97.25
7127,59.75,45.5
7130,91.66666667,78.25
7133,76,46.25
7138,85.5,68.5
7143,83,44.5
7147,74.5,52.66666667
7158,63.33333333,47.75
7160,72.25,66.5
7161,61.25,39.33333333
7162,65,42.75
7163,66.5,44
7164,69.75,59.25
7165,71.5,43.5
7169,82.5,78.25
7177,65.75,45.25
7181,96.75,97
7183,NA,NA
7186,75,49.75
7192,68.75,42
7199,66.5,37
7202,63,40.75
7203,67.25,44.5
7207,70.25,49.75
7208,73,46
7209,63.5,45.25
7213,65.5,40
7217,56.5,38
7218,75,51.25
7223,75.75,54.75
7231,65.75,45.33333333
7236,73.5,47.5
7244,68,46
7248,71.5,66.66666667
7250,58,37.75
7255,62,47.33333333
7258,71,43.5
7268,65.75,43.66666667
7273,77,43.66666667
7276,73.75,49.25
7280,80.75,46.5
7282,62.5,37.5
7287,71,48.25
7288,82.5,70.25
7296,84.25,62.5
7298,81.75,53.25
7305,79.25,51.5
7306,76.5,49.75
7307,78.5,72.33333333
7314,66,42.25
7316,81.25,89.25
7319,58.5,52.75
7320,80.75,74.5
7322,76.5,51.75
7323,75.75,64.25
7327,64.5,53.5
7328,56.25,51.33333333
7332,64,43.5
7333,68.75,39.75
7337,74.5,47.5
7342,83,65
7343,72,51.25
7344,73.5,47.66666667
7346,78.25,58.66666667
7347,64.75,47
7349,81.25,52.75
7350,80,52
7353,86,70.5
7354,100.25,108.3333333
7356,88,64.33333333
7358,NA,NA
7359,NA,NA
7372,83,54.5
7373,81.25,54.75
7377,75.75,59.75
7378,71.25,52
7382,55.5,40
7383,60.5,38
7384,76.25,65.75
7387,60.75,41.25
7394,56.75,41.75
7396,61.5,51.5
7404,68.5,41.33333333
7411,66,54
7413,69.25,48
7415,72.25,45.25
7416,81.5,78.66666667
7417,86.33333333,NA
7418,63.5,46.25
7419,69,43.25
7424,57.75,35.5
7427,101,91.5
7430,72.5,42.25
7460,75,37
7461,68,48.75
7471,56.25,34
7475,NA,NA
7477,74,52.25
7514,80.25,57.33333333
7515,73.75,73.5
7516,105,117
7517,115,113.75
7520,73.25,48.75
7521,70.75,54
7523,80,68.75
7525,63,41.75
7529,NA,NA
7530,NA,NA
7566,NA,NA
7568,NA,NA
7717,82.75,76.25
7757,NA,NA
7767,NA,NA
7917,82.25,68.75
7947,82.25,81.5
8037,NA,NA
8057,NA,NA
8077,70,57.75
8132,74,67.33333333
8171,NA,NA
8214,65,54.5
8222,100,93.25
8227,120,NA
8230,110.3333333,103
8231,100.75,108.6666667
8233,75.5,69.25
8234,102.6666667,92.75
8235,74.5,68.75
8236,74,64.66666667
8237,97.25,98.75
8238,79.5,52.25
8239,56,42.5
8240,94.5,83
8241,90.75,66.25
8242,116.75,132
8243,80,68.25
8244,90.5,58.5
8246,70.5,76.5
8247,98,94.66666667
8249,93.75,88
8256,73.25,45.25
8258,93,NA
8259,88,65.5
8264,65.5,63.5
8283,84.25,82.66666667
8284,83.25,76
8285,66.5,51.66666667
8290,63.25,44.25
8297,85.75,79
8306,102.5,95
8307,79.25,64.25
8311,65.5,59.25
8312,65.75,52
8326,86.75,58
8334,74.75,54
8335,100,92.25
8337,74,72.5
8343,81.25,59.75
8351,103,97.5
8354,82,58.75
8357,71.75,55.5
8365,74,39.5
8366,78.33333333,62.75
8369,98,94.66666667
8376,103,104
8386,75,49
8387,74.25,48.33333333
8419,94.25,58.75
8420,74.75,47.5
8422,116.75,116.25
8424,68.25,80
8426,62.75,40.25
8427,NA,NA
8464,NA,NA
8483,NA,NA
8699,NA,NA
8723,NA,NA
9027,NA,NA
9057,87.5,67.5
9058,113.25,123
9067,101.75,130
9069,82.75,90.75
9070,80,88.5
9075,93.25,98.25
9078,100.25,104.25
9079,101,102
9081,91.25,99.66666667
9084,103.75,114.25
9085,103,101
9089,88.66666667,125.5
9091,99.75,97.5
9095,104,113.3333333
9099,100.25,112.6666667
9100,77.5,74
9102,83.75,80.75
9103,83.25,82.75
9104,60.75,60
9105,77.25,78.75
9106,87.25,87.5
9111,100.5,89.25
9113,76,70.25
9114,99.75,100.5
9115,91.25,71.75
9121,105.25,102
9125,74,69.25
9128,69.5,61
9130,72.75,63.25
9131,72.5,63.5
9133,73.25,68
9134,79.75,64.5
9298,60,45.5
9312,75.25,57.5
9314,74.25,60
9321,106.75,140
9323,97,80.75
9332,114.25,129
9336,84,66.75
9339,104.5,116.5
9343,94.5,88
9352,127.75,134.3333333
9353,126,134
9363,134,NA
9369,81.75,71.25
9370,NA,NA
9371,129.25,145
9380,101,98.25
9381,98.25,NA
9382,99,110.6666667
9383,99.33333333,103
9386,115.5,107.75
9388,127.25,137
9390,79.75,55
9391,85,64.5
9392,87.25,59
9394,110.6666667,110.5
9395,104.5,118.25
9399,97,91
9402,92.25,78.75
9404,95,78.75
9405,103.5,95.5
9407,91.75,75
9408,108.25,124
9409,108.25,119.25
9412,87.25,64
9413,86,75
9416,135.5,129
9421,107,103
9427,96.75,119.5
9433,138,137
9436,89,77.5
9437,91.75,90
9442,104.75,113.25
9450,88,78.5
9451,107.5,113.6666667
9452,101.5,103
9453,106.5,129.5
9454,101.25,138
9455,93.25,102.75
9470,102.6666667,90.5
9471,NA,NA
9476,120.25,126.3333333
9481,110.5,121
9503,64,53.5
9506,77.75,69
9507,55,46.66666667
9508,62,60.66666667
9509,64.5,59
9510,59.25,55.75
9511,64.25,55
9512,51.25,40.25
9513,71.75,63.33333333
9514,72.5,83.33333333
9515,56.25,51.25
9517,64,35.75
9518,92,87.5
9519,77.25,64.5
9520,113.5,120.5
9521,69.75,68
9522,59,60.33333333
9523,86.75,84.66666667
9524,97.25,99.66666667
9525,91.75,81.25
9526,65,56.33333333
9527,86.25,76.5
9528,105.3333333,89.5
9529,65,63
9530,90.5,123
9531,91,92
9532,106,108.6666667
9533,89,79
9534,69.75,65.66666667
9535,93.5,89
9536,99,103
9537,64.25,56
9539,78.5,91.25
9540,75.25,88.25
9541,68.5,61.5
9542,90,107.25
9543,94.33333333,89.66666667
9544,57.25,53.5
9545,83.5,101
9546,148.5,NA
9547,79.25,70
9548,128,NA
9549,91,106.6666667
9550,130.25,132
9551,102,123
9552,128.75,NA
9553,100.75,106
9554,94,104.25
9555,93.5,100
9556,76.25,65
9557,107.25,112
9558,96.5,114.6666667
9559,56.75,66.5
9560,69.25,53.75
9561,101,92
9562,93.25,83.5
9564,122.25,NA
9565,74.5,72.33333333
9567,113,103.5
9568,103.75,109.5
9569,99,96.5
9571,56.5,35.25
9573,70.25,60
9574,112,NA
9576,106,106.5
9577,99.5,123.5
9578,75.25,59.25
9579,77,79.25
9581,111,118.5
9582,95.75,93.75
9583,96.75,89.5
9584,88.5,85.5
9585,52.25,32
9586,97.5,NA
9587,101,101.75
9588,85,79.33333333
9589,85.75,77.33333333
9590,51.25,50.5
9591,67,46
9592,95,100
9593,109.5,109
9594,95,110.6666667
9595,80.5,66.75
9596,73,61
9597,69.75,60.66666667
9598,87,91
9599,84.75,90.25
9600,89.5,73
9601,97,77
9602,77.25,75.33333333
9606,63,41
9607,88.75,107.6666667
9608,58,45.25
9609,74.5,51
9610,82.25,69.5
9611,73.5,68
9612,86.5,71.5
9613,81.75,71.66666667
9615,85.75,86
9616,93.5,110.75
9617,70.75,66
9619,77.33333333,83
9620,89.75,74.33333333
9621,92,90.5
9622,92,81.66666667
9624,79.5,74.33333333
9625,91.75,101.5
9626,77.33333333,70.25
9627,90.5,88.25
9628,78.5,69.25
9629,98,74.66666667
9630,84.75,79.5
9631,98.5,140
9632,92,90.33333333
9633,88.25,77
9634,91,98
9635,93.25,84.66666667
9636,109.75,141
9637,81.25,82.5
9638,88.25,87.66666667
9639,78,73.25
9640,92.75,80.75
9641,82.66666667,87.66666667
9642,95.5,86
9643,85,79
9644,76.75,69
9645,77.5,66.25
9646,62.5,55.25
9647,67.75,55
9648,60,61
9649,76.25,67.25
9651,64,49.66666667
9653,59.5,52.5
9655,79,71.66666667
9656,78.25,89
9657,58.5,48
9658,71.33333333,66.5
9659,71.25,66.66666667
9660,53.25,40
9661,55.25,42
9663,69.75,69.33333333
9664,85.5,109.6666667
9665,85.5,86.66666667
9666,86.5,112
9667,89,107
9668,82.5,79.5
9669,81,86
9670,105.5,112.5
9671,90.5,95
9672,85.33333333,90.5
9673,87.5,99.66666667
9676,87.75,89
9677,81.75,110.5
9678,69,87
9679,69.25,79.75
9680,62.75,59.33333333
9681,66.25,92.25
9682,77.75,74.75
9683,64,71.75
9684,84,89.5
9685,84.75,89.75
9686,84.33333333,88
9687,88.5,83.33333333
9689,67.75,83
9690,75.5,81.66666667
9691,74,72.75
9692,72,70.75
9693,68.5,75
9694,76.5,74.25
9695,103.5,84.5
9696,77.5,76.75
9697,77.5,63
9698,81,74.5
9699,74.25,63.66666667
9700,80,81
9701,85.5,82
9703,76.5,69.75
9704,75.5,70.33333333
9705,71.33333333,67
9706,95.25,78.66666667
9707,80.5,72.75
9708,89,85
9709,82,73.5
9710,80.5,83.25
9711,75,82.5
9712,77,78
9713,75.25,68.33333333
9714,80.75,82.33333333
9716,102.6666667,122
9717,90.25,93.33333333
9718,78.75,79
9719,72.5,57.75
9720,100.75,104
9721,77.5,78
9722,99.5,108
9723,76,68.5
9725,61.25,56.5
9726,67,56.5
9727,61.25,43.5
9728,77.5,77.75
9729,96.75,79
9730,89,97
9731,92.5,66
9732,82,88.25
9733,80,83.75
9735,85.5,74
9736,78,81
9737,85.75,63.66666667
9738,79,73.75
9739,86,68.5
9741,88,71.5
9743,79.5,75
9744,78.75,63.33333333
9745,79.5,76
9747,86,94.66666667
9748,81,86.25
9749,74.75,63.75
9754,79.25,NA
9755,88.75,82
9756,88.75,73
9757,93.75,93
9758,71.25,73
9759,61.5,58.5
9761,65.25,58
9762,95.5,72.75
9764,69.75,62.75
9766,57.75,39.5
9768,74.5,54.66666667
9769,66.5,44.66666667
9770,67,44.75
9771,62.5,44.25
9772,67,40.75
9774,68,43
9775,60,44.25
9776,65.25,57.5
9777,66.5,43.5
9778,71.5,49.25
9779,63.25,44.66666667
9780,72.25,45.75
9781,60,41.66666667
9782,63.25,44.5
9783,76.5,66.33333333
9784,60.25,43.5
9785,63.25,45.25
9786,64.75,40.25
9787,70.5,49.33333333
