id,FT_mean
88,50.5
108,52.25
139,52.75
159,56.75
265,47.25
350,51.5
351,65.33333333
403,54.25
410,65.25
424,68.25
428,59
430,55
470,NA
476,NA
484,NA
504,NA
506,NA
531,NA
544,NA
546,NA
628,NA
630,58.75
680,NA
681,NA
685,NA
687,NA
728,NA
742,NA
763,39
765,36.66666667
766,41.75
768,78.25
772,43.5
801,88.25
853,NA
854,NA
867,NA
868,NA
870,62.25
915,43.5
932,68.75
991,106.75
992,100
997,87.5
1002,86.25
1006,NA
1061,94.75
1062,68.25
1063,64.25
1066,NA
1070,NA
1158,88
1166,NA
1254,106
1257,93.25
1313,NA
1317,102
1552,115.3333333
1612,NA
1622,NA
1651,NA
1652,NA
1676,NA
1684,NA
1739,NA
1741,NA
1756,NA
1757,NA
1793,NA
1797,NA
1819,NA
1820,NA
1829,99
1834,NA
1835,NA
1851,NA
1852,NA
1853,69.33333333
1872,82.5
1890,75.75
1925,89.5
1942,NA
1943,NA
1954,101
2016,69.75
2017,NA
2031,NA
2053,NA
2057,NA
2081,NA
2091,NA
2106,NA
2108,NA
2141,NA
2159,NA
2166,NA
2171,82.5
2191,NA
2202,96.5
2212,NA
2239,NA
2240,NA
2276,84.25
2278,85
2285,NA
2286,NA
2317,53.5
2370,NA
2412,NA
4779,50.25
4807,87.5
4826,51
4840,NA
4857,NA
4884,49.5
4900,50.25
4939,NA
4958,100.25
5023,43.75
5104,40.75
5151,73.66666667
5165,81.75
5210,78
5236,43.5
5249,NA
5253,38
5276,49.75
5279,NA
5349,97.33333333
5353,62.5
5395,NA
5486,37.5
5577,51
5644,46.25
5651,NA
5717,NA
5718,NA
5720,63.33333333
5726,48
5741,88.5
5748,41.75
5757,66.66666667
5768,85
5772,49
5776,NA
5779,67
5784,69.25
5798,NA
5800,39
5811,46
5822,111
5830,75.33333333
5831,93
5832,87.33333333
5836,NA
5837,55.25
5856,NA
5860,NA
5865,101
5867,NA
5874,69.25
5890,55.25
5893,64.25
5907,48.5
5921,55.75
5950,65.5
5984,41.75
5993,64.75
6008,43
6009,113.5
6010,NA
6011,112.5
6012,125
6013,93
6016,83.5
6017,104
6019,NA
6020,87.25
6021,87
6022,NA
6023,89.25
6024,116
6025,NA
6030,129
6034,80.5
6035,73.75
6036,86.33333333
6038,77.25
6039,62
6040,82.5
6041,51.5
6042,43
6043,130.6666667
6046,117
6064,129.5
6069,139
6070,119.3333333
6071,139.5
6073,96.5
6074,85.75
6076,110.5
6077,NA
6085,128
6086,100.75
6087,NA
6088,128
6090,105
6091,NA
6092,89.5
6094,92.66666667
6095,NA
6096,NA
6097,94
6098,105
6099,113.6666667
6100,108.3333333
6101,NA
6102,103.5
6104,109.5
6105,87.66666667
6106,94.75
6107,105.25
6108,52.75
6109,99
6111,93.66666667
6112,76.75
6113,NA
6114,92
6115,74.75
6118,99.25
6119,NA
6122,90
6123,NA
6124,106
6125,100
6126,89
6128,113
6131,137
6132,102.5
6133,91.75
6134,100.3333333
6136,84.5
6137,87.75
6138,90.75
6140,103.25
6141,NA
6142,107.5
6145,111.5
6148,105.6666667
6149,99
6150,101.6666667
6151,103.3333333
6153,116
6154,NA
6163,NA
6166,NA
6169,113.5
6172,114
6173,101
6174,128
6177,105.5
6180,41.25
